src_ip,dst_ip,proto,length,is_tcp,is_udp,src_port,dst_port,tcp_flags
10.9.0.50,182.161.74.45,6,56,1,0,58163.0,443.0,FA
10.9.0.50,173.194.203.188,6,68,1,0,58313.0,5228.0,S
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,463,1,0,58307.0,443.0,PA
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,156,1,0,58307.0,443.0,PA
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,134,1,0,58307.0,443.0,PA
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,179,1,0,58307.0,443.0,PA
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,137,1,0,58307.0,443.0,PA
10.9.0.50,104.18.39.85,6,1429,1,0,58307.0,443.0,A
10.9.0.50,104.18.39.85,6,160,1,0,58307.0,443.0,PA
162.159.61.3,10.9.0.50,6,56,1,0,443.0,58160.0,FA
8.8.8.8,10.9.0.50,17,75,0,1,53.0,56528.0,
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
8.8.8.8,10.9.0.50,17,193,0,1,53.0,56968.0,
8.8.8.8,10.9.0.50,17,92,0,1,53.0,51300.0,
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
10.9.0.50,162.159.61.3,6,176,1,0,58160.0,443.0,FPA
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,PA
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
10.9.0.50,173.194.56.10,6,56,1,0,58314.0,443.0,A
10.9.0.50,173.194.56.10,6,56,1,0,58314.0,443.0,A
10.9.0.50,173.194.56.10,6,56,1,0,58314.0,443.0,A
10.9.0.50,172.64.148.171,17,1232,0,1,54376.0,443.0,
10.9.0.50,104.18.39.85,6,68,1,0,58316.0,443.0,S
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,PA
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
10.9.0.50,173.194.56.10,6,56,1,0,58314.0,443.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,PA
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,PA
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,PA
162.159.61.3,10.9.0.50,6,56,1,0,443.0,58160.0,FA
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
8.8.8.8,10.9.0.50,17,76,0,1,53.0,51797.0,
8.8.8.8,10.9.0.50,17,75,0,1,53.0,56528.0,
173.194.56.10,10.9.0.50,6,1429,1,0,443.0,58314.0,A
8.8.8.8,10.9.0.50,17,193,0,1,53.0,56968.0,
8.8.8.8,10.9.0.50,17,76,0,1,53.0,51797.0,
173.194.56.10,10.9.0.50,6,56,1,0,443.0,58315.0,FA
8.8.8.8,10.9.0.50,17,145,0,1,53.0,60888.0,
8.8.8.8,10.9.0.50,17,97,0,1,53.0,65162.0,
8.8.8.8,10.9.0.50,17,153,0,1,53.0,49311.0,
8.8.8.8,10.9.0.50,17,97,0,1,53.0,65162.0,
8.8.8.8,10.9.0.50,17,145,0,1,53.0,60888.0,
8.8.8.8,10.9.0.50,17,153,0,1,53.0,49311.0,
8.8.8.8,10.9.0.50,17,92,0,1,53.0,51300.0,
8.8.8.8,10.9.0.50,17,118,0,1,53.0,56040.0,
8.8.8.8,10.9.0.50,17,194,0,1,53.0,56768.0,
8.8.8.8,10.9.0.50,17,194,0,1,53.0,56768.0,
8.8.8.8,10.9.0.50,17,198,0,1,53.0,50165.0,
8.8.8.8,10.9.0.50,17,190,0,1,53.0,61178.0,
8.8.8.8,10.9.0.50,17,190,0,1,53.0,61178.0,
8.8.8.8,10.9.0.50,17,267,0,1,53.0,51138.0,
8.8.8.8,10.9.0.50,17,267,0,1,53.0,51138.0,
8.8.8.8,10.9.0.50,17,230,0,1,53.0,50165.0,
8.8.8.8,10.9.0.50,17,118,0,1,53.0,56040.0,
104.18.39.85,10.9.0.50,6,167,1,0,443.0,58307.0,PA
104.18.39.85,10.9.0.50,6,165,1,0,443.0,58307.0,PA
104.18.39.85,10.9.0.50,6,87,1,0,443.0,58307.0,PA
104.18.39.85,10.9.0.50,6,56,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,119,1,0,443.0,58307.0,PA
104.18.39.85,10.9.0.50,6,102,1,0,443.0,58307.0,PA
10.9.0.50,173.194.56.10,6,56,1,0,58315.0,443.0,A
10.9.0.50,104.18.39.85,6,56,1,0,58307.0,443.0,A
10.9.0.50,173.194.56.10,6,56,1,0,58314.0,443.0,A
10.9.0.50,162.159.61.3,6,57,1,0,58160.0,443.0,FPA
10.9.0.50,8.8.8.8,1,60,0,0,,,
10.9.0.50,104.18.39.85,6,56,1,0,58307.0,443.0,A
10.9.0.50,17.57.144.55,6,68,1,0,58317.0,5223.0,S
104.18.39.85,10.9.0.50,6,1429,1,0,443.0,58307.0,A
104.18.39.85,10.9.0.50,6,74,1,0,443.0,58307.0,PA
